bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
pg30817-3,0.0319,0.2402,0.2972,0.1170,0.0287,0.0201,0.0364,0.0544,0.0535,0.0011,0.0034,0.0049,0.0114,0.1002,-0.0960,0.0251,0.4000,0.2222,0.3778,0.8296,-0.1032,-1.1811
pg30817-4,0.0324,0.2286,0.2739,0.1117,0.0252,0.0241,0.0344,0.0519,0.0505,0.0015,0.0023,0.0055,0.0096,0.0956,-0.0910,0.0270,0.2444,0.2667,0.4889,0.8133,-0.1032,-1.1811
pg30817-5,0.0356,0.2546,0.4151,0.1019,0.0353,0.0277,0.0331,0.0485,0.0521,0.0013,0.0024,0.0062,0.0102,0.0916,-0.0965,0.0203,0.3111,0.3111,0.3778,0.8005,-0.1032,-1.1811
pg2684Galsw4-5,0.0266,0.4748,0.0843,0.0767,0.0265,0.0223,0.0308,0.0493,0.0412,0.0098,0.0079,0.0127,0.0245,0.1105,-0.1072,0.0201,0.1935,0.2258,0.5806,0.7673,0.0233,-0.1521
pg2684Galsw4-4,0.0234,0.3510,0.1071,0.0730,0.0344,0.0263,0.0279,0.0540,0.0450,0.0078,0.0075,0.0085,0.0183,0.1057,-0.0964,0.0168,0.3939,0.1515,0.4545,0.7838,0.0233,-0.1521
pg2684Galsw4-7,0.0276,0.3596,0.1987,0.0646,0.0280,0.0270,0.0359,0.0678,0.0413,0.0035,0.0091,0.0059,0.0154,0.1222,-0.0738,0.0211,0.3438,0.1250,0.5313,0.8031,0.0233,-0.1521
pg30817-1,0.0378,0.1556,0.3692,0.1077,0.0253,0.0209,0.0267,0.0431,0.0592,0.0024,0.0040,0.0091,0.0131,0.0853,-0.1300,0.0305,0.5333,0.1778,0.2889,0.8330,-0.1032,-1.1811
pg2684Galsw4-6,0.0234,0.4620,0.0526,0.0776,0.0289,0.0241,0.0312,0.0565,0.0409,0.0066,0.0078,0.0128,0.0229,0.1149,-0.0983,0.0190,0.3548,0.0968,0.5484,0.8152,0.0233,-0.1521
pg30817-2,0.0307,0.2290,0.3442,0.1129,0.0312,0.0228,0.0326,0.0439,0.0549,0.0013,0.0014,0.0053,0.0107,0.0845,-0.1113,0.0228,0.3333,0.3556,0.3111,0.8298,-0.1032,-1.1811
pg2684Galsw4-1,0.0322,0.4385,0.1241,0.0755,0.0228,0.0266,0.0276,0.0528,0.0430,0.0057,0.0085,0.0113,0.0201,0.1059,-0.1193,0.0266,0.3125,0.0938,0.5938,0.8141,0.0233,-0.1521
