Book_Name;book_id;guten_genre;Author_Name
The Mystery of the Boule Cabinet: A Detective Story;pg10067.epub;Detective and Mystery;Stevenson| Burton Egbert
The Pupil;pg1032.epub;Literary;James| Henry
At Love's Cost;pg10379.epub;Literary;Garvice| Charles
The Heart of the Range;pg10473.epub;Western Stories;White| William Patterson
The Worshipper of the Image;pg10812.epub;Literary;Gallienne| Richard Le
The Book-Bills of Narcissus - An Account Rendered by Richard Le Gallienne;pg10826.epub;Literary;Gallienne| Richard Le
Elusive Isabel;pg10943.epub;Detective and Mystery;Futrelle| Jacques
Joe Burke's Last Stand;pg11004.epub;Literary;Wetterau| John Moncure
O+F;pg11005.epub;Literary;Wetterau| John Moncure
Polly and the Princess;pg11259.epub;Literary;Dowd| Emma C.
Maggie Miller: The Story of Old Hagar's Secret;pg11280.epub;Literary;Holmes| Mary Jane
The Obstacle Race;pg11520.epub;Literary;Dell| Ethel M.
From out the Vasty Deep;pg11581.epub;Literary;Lowndes| Marie Belloc
Fate Knocks at the Door: A Novel;pg11655.epub;Literary;Comfort| Will Levington
The Torrent (Entre Naranjos);pg11674.epub;Literary;Ibez| Vicente Blasco
The Jolly Corner;pg1190.epub;Ghost and Horror;James| Henry
The Coxon Fund;pg1193.epub;Literary;James| Henry
The Mystery of Monastery Farm;pg11931.epub;Literary;Naylor| H. R.
Wife in Name Only;pg11970.epub;Literary;Brame| Charlotte M.
Darrel of the Blessed Isles;pg12102.epub;Literary;Bacheller| Irving
The Adventures of Jimmie Dale;pg1218.epub;Detective and Mystery;Packard| Frank L.
The Story of Bessie Costrell;pg12181.epub;Literary;Ward| Mrs. Humphry
Fated to Be Free: A Novel;pg12303.epub;Literary;Ingelow| Jean
Nancy: A Novel;pg12304.epub;Literary;Broughton| Rhoda
The Top of the World;pg12360.epub;Literary;Dell| Ethel M.
The Reason Why;pg12450.epub;Literary;Glyn| Elinor
Miriam Monfort - A Novel;pg12453.epub;Literary;Warfield| Catherine A.
A Perilous Secret;pg12470.epub;Literary;Reade| Charles
Deadham Hard: A Romance;pg12520.epub;Literary;Malet| Lucas
A Simple Soul;pg1253.epub;Literary;Flaubert| Gustave
A Spinner in the Sun;pg12672.epub;Literary;Reed| Myrtle
The Autobiography of a Slander;pg1273.epub;Literary;Lyall| Edna
Tokyo to Tijuana: Gabriele Departing America;pg12733.epub;Literary;Sills| Steven David Justin
The Coquette's Victim - Everyday Life Library No. 1;pg12886.epub;Literary;Brame| Charlotte M
The Song of the Blood-Red Flower;pg12935.epub;Literary;Linnankoski| Johannes
People Like That - A Novel;pg12972.epub;Literary;Bosher| Kate Langley
The Lady of Big Shanty;pg12989.epub;Literary;Smith| F. Berkeley
The Philanderers;pg13057.epub;Literary;Mason| A. E. W.
Coralie - Everyday Life Library No. 2;pg13162.epub;Literary;Brame| Charlotte M.
Broken to the Plow - A Novel;pg13178.epub;Literary;Dobie| Charles Caldwell
The Wild Olive: A Novel;pg13212.epub;Literary;King| Basil
The American Baron: A Novel;pg13257.epub;Literary;Mille| James De
Out of the Ashes;pg13273.epub;Literary;Grant| Ethel Watts Mumford
The Light That Lures;pg13312.epub;Literary;Brebner| Percy James
Miss Bretherton;pg13432.epub;Literary;Ward| Mrs. Humphry
Aylwin;pg13454.epub;Literary;Watts-Dunton| Theodore
The Collected Works of Ambrose Bierce- Volume 1;pg13541.epub;Literary;Bierce| Ambrose
The Son of Clemenceau- A Novel of Modern Love and Life;pg13572.epub;Literary;Dumas| Alexandre
One Day  A sequel to 'Three Weeks';pg13776.epub;Literary;Elinor Glyn
The Port of Missing Men;pg13913.epub;Literary;Nicholson| Meredith
The Seven Poor Travellers;pg1392.epub;Christmas Stories;Dickens| Charles
Charles Rex;pg13960.epub;Love and Romance;Dell| Ethel M.
V. V.'s Eyes;pg13985.epub;Literary;Harrison| Henry Sydnor
The End of the World: A Love Story;pg14051.epub;Love and Romance;Eggleston| Edward
Sandy;pg14079.epub;Sea and Adventure;Rice| Alice Caldwell Hegan
If Winter Comes;pg14145.epub;Literary;Hutchinson| A. S. M.
Going into Society;pg1422.epub;Literary;Dickens| Charles
Flames;pg14253.epub;Literary;Hichens| Robert
Queed - A Novel;pg14303.epub;Literary;Harrison| Henry Sydnor
The Missing Bride;pg14382.epub;Literary;Southworth| Emma Dorothy Eliza Nevitte
Septimus;pg14395.epub;Literary;Locke| William John
The Exemplary Novels of Cervantes;pg14420.epub;Literary;Saavedra| Miguel de Cervantes
True Love's Reward - A Sequel to Mona;pg14427.epub;Literary;Sheldon| Mrs. Georgie
The Doctor's Dilemma;pg14454.epub;Literary;Stretton| Hesba
A Daughter of To-Day;pg14490.epub;Literary;Duncan| Sara Jeannette
Sister Carmen;pg14523.epub;Literary;Corvus| M.
The Just and the Unjust;pg14581.epub;Literary;Kester| Vaughan
The Devil's Garden;pg14605.epub;Literary;Maxwell| W. B.
Jaffery;pg14669.epub;Literary;Locke| William John
Christian's Mistake;pg14687.epub;Literary;Craik| Dinah Maria Mulock
The Laurel Bush: An Old-Fashioned Love Story;pg14708.epub;Love and Romance;Craik| Dinah Maria Mulock
Vandover and the Brute;pg14712.epub;Literary;Norris| Frank
The Younger Set;pg14852.epub;Literary;Chambers| Robert W.
The Man Thou Gavest;pg14858.epub;Literary;Comstock| Harriet T.
Red Pottage;pg14885.epub;Literary;Cholmondeley| Mary
The Keeper of the Door;pg15013.epub;Literary;Dell| Ethel M.
The Cathedral;pg15067.epub;Literary;Huysmans| J.-K.
The Cab of the Sleeping Horse;pg15094.epub;Literary;Scott| John Reed
The Jervaise Comedy;pg15116.epub;Literary;Beresford| J. D.
Sea and Shore - A Sequel to "Miriam's Memoirs";pg15117.epub;Literary;Warfield| Catherine A.
David Lockwin—The People's Idol;pg15123.epub;Literary;McGovern| John
The Inner Sisterhood - A Social Study in High Colors;pg15179.epub;Literary;Sherley| Douglass
My Mother's Rival - Everyday Life Library No. 4;pg15181.epub;Literary;Brame| Charlotte M.
Marion Arleigh's Penance - Everyday Life Library No. 5;pg15182.epub;Literary;Brame| Charlotte M.
The Tragedy of the Chain Pier - Everyday Life Library No. 3;pg15183.epub;Literary;Brame| Charlotte M.
Lewie - The Bended Twig;pg15244.epub;Literary;Bradford| Sarah H.
Bessie's Fortune: A Novel;pg15275.epub;Literary;Holmes| Mary Jane
Gladys- the Reaper;pg15315.epub;Literary;Beale| Anne
